EXO解码,#genre#
巴音郭楞州教育,rtmp://tv.loulannews.cn/channellive/ch4
达川生活,rtmp://tv.drs.dzxw.net/channellive/ggpd-dz2
大连综合,rtmp://secret.dltv.cn/dreamStreamCore/tcb3IB5/lv500?t
德阳科教,rtmp://scdytv.cn:1935/live/m_ggpd_livevideo
德阳新闻,rtmp://scdytv.cn:1935/live/m_xwpd_livevideo
福贡综合,rtmp://livebroadcast.ccwb.cn/live/w1612505860303999
赣州公共,rtmp://wb.jxgztv.com/live/gztv2
赣州教育,rtmp://wb.jxgztv.com/live/gztv3
赣州新闻,rtmp://wb.jxgztv.com/live/gztv1
古县综合,rtmp://jxlive.jxrmtzx.com/live/xwzh
贵溪综合,rtmp://guixibc.jxshiju.com/live/guixi
剑阁新闻,rtmp://tv.scjgtv.cn/channellive/jgzhpd
晋中公共,rtmp://jzlive.jztvnews.com:1940/live/jzgg
经济,rtmp://cstvplay.21cs.cn/cstv2/cstv2
靖江新闻,rtmp://visit.jjbctv.com:1935/live/xwzhpc
景泰综合,rtmp://play.kankanlive.com/live/1624439143745981
灵石新闻,rtmp://live-stream.lsxrmtzx.com/live/video
泸州科教,rtmp://tvdrs.luzhoubs.com/channellive/lztv3
泸州新闻,rtmp://tvdrs.luzhoubs.com/channellive/lztv1
南昌科教,rtmp://tv.drs.ncntv.com.cn/channellive/nckjpd
南昌新闻,rtmp://tv.drs.ncntv.com.cn/channellive/nczhpd
内江科教,rtmp://njzb.scnj.tv:1938/live/kjpd_kjpd800
内江新闻,rtmp://njzb.scnj.tv:1938/live/xwzh_xwzh800
祁门综合,rtmp://tv.qmxrmt.com/chan/ch1
生活,rtmp://live.sfrmt.com/live/zhpd
生活,rtmp://221.229.243.45:1935/live/live2
石河子教育,rtmp://124.88.144.73:1935/live/jiaoyu
石河子经济,rtmp://124.88.144.73:1935/live/dywt
石河子新闻,rtmp://124.88.144.73:1935/live/xwzh
文山新闻,rtmp://tvdrs.wsrtv.com.cn:5040/channellive/ch1
西和综合,rtmp://play.kankanlive.com/live/1659926941626981
新闻,rtmp://test5.btzx.com.cn/live/13TV.stream
新闻,rtmp://live.iwcmt.cn:1936/live/zhxw
新闻,rtmp://visit.jjbctv.com/live/xwzhpc
延安公共,rtmp://live.cloud.yanews.cn/video/s10001-YATV-2
延安综合,rtmp://live.cloud.yanews.cn/video/s10001-YATV-1
永川综合,rtmp://113.207.29.195/applive/yctv01
酉阳综合,rtmp://113.207.29.195/applive/youytv01
漳州综合,rtmp://live.zzyxxw.com/live/xwzh
长子综合,rtmp://zzlive.zzc-media.com/live/xwzh
镇江公共,rtmp://zjtv-wshls.homecdn.com/live/2aa16
镇江新闻,rtmp://zjtv-wshls.homecdn.com/live/2aa50
综合,rtmp://cstvplay.21cs.cn/cstv1/cstv1
巴音,rtmp://tv.loulannews.cn/channellive/ch1
巴音,rtmp://tv.loulannews.cn/channellive/ch2
巴音,rtmp://tv.loulannews.cn/channellive/ch3
包头,rtmp://test5.btzx.com.cn/live/kkdl.stream
宾阳,rtmp://live.gxrb.com.cn/gx/binyang
昌黎,rtmp://jwliveqxzb.hebyun.com.cn/clzhpd/clzhpd
崇明,rtmp://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee
崇明,rtmp://pili-publish.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee
达州,rtmp://tv.drs.dzxw.net/channellive/xwzhpd-dz1
丹阳,rtmp://danyang-tv-hls.cm.jstv.com/danyang-tv/danyangtv
丰宁,rtmp://jwliveqxzb.hebyun.com.cn/fengningzonghe/fengningzonghe
赣州,rtmp://tv.drs.ganzitv.com/channellive/gztv
高邮,rtmp://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw
古交,rtmp://pili-live-hls.189.i2863.com/i2863-189/live_189_170656
海安,rtmp://haian-tv-hls.cm.jstv.com/haian-tv/haaxwzh
邯郸,rtmp://jwliveqxzb.hebyun.com.cn/hdgg/hdgg
邯郸,rtmp://jwliveqxzb.hebyun.com.cn/hdkj/hdkj
邯郸,rtmp://jwliveqxzb.hebyun.com.cn/hdxwzh/hdxwzh
贺州,rtmp://zhz.gxhzxw.com:2935/live/HZXW-HD
黑水,rtmp://live.schstv.com/live/xwzh
嘉定,rtmp://pili-live-hls.wdit.com.cn/wditlive/15472c98517744b994e85c9c60cc93cf6a3b
夹江,rtmp://tv.jjrm.org.cn/channellive/ch1
江宁,rtmp://jiangning-tv-hls.cm.jstv.com/jiangning-tv/jnxwzh
姜堰,rtmp://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh
金川,rtmp://live.jinchuanrmt.com/live/zhxw
锦湖,rtmp://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh
晋中,rtmp://jzlive.jztvnews.com:1940/live/jzzh
开江,rtmp://lmt.kjzx.net/live1/live1
崆峒,rtmp://125.74.200.110:10085/hls/001
利州,rtmp://tv.drs.lzgbdst.com/channellive/lztv2
柳林,rtmp://pili-live-rtmp.212.i2863.com/i2863-212/live_212_316579
柳林,rtmp://pili-live-rtmp.212.i2863.com/i2863-212/live_212_336940
陇川,rtmp://live.zmmek.com/live/zhxw
鲁甸,rtmp://livebroadcast.ccwb.cn/live/w1619693259142907
鹿泉,rtmp://jwliveqxzb.hebyun.com.cn/luquaner/luquaner
鹿泉,rtmp://jwliveqxzb.hebyun.com.cn/luquanyi/luquanyi
泸水,rtmp://livebroadcast.ccwb.cn/live/w1596164431584927
泸县,rtmp://tv.lxxcb.cn:1935/channellive/lxtv1
麻栗坡,rtmp://tvdrs.wsrtv.com.cn:5040/channellive/mlptv
沐川,rtmp://tv.mcrm.org.cn:1935/channellive/tv01
怒江,rtmp://livebroadcast.ccwb.cn/live/w1620805130988936
沛县,rtmp://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh
彭山,rtmp://tv.psrm.net:1935/channellive/ch1
平泉,rtmp://jwliveqxzb.hebyun.com.cn/pqys/pqys
平泉,rtmp://jwliveqxzb.hebyun.com.cn/pqzh/pqzh
黔南,rtmp://tv.qntv.net/channellive/ch1
黔南,rtmp://tv.qntv.net/channellive/ch2
清河,rtmp://jwliveqxzb.hebyun.com.cn/qinghe/qinghe
清河,rtmp://jwliveqxzb.hebyun.com.cn/qinghe1/qinghe1
泉州,rtmp://live.qztv.cn/live/news
泉州4,rtmp://live.qztv.cn/live/mny
如东,rtmp://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh
石河子影视,rtmp://124.88.144.73:1935/live/jjsh
沭阳,rtmp://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh
泗阳,rtmp://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh
泗阳,rtmp://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx
松潘,rtmp://live.spccmc.com:1936/live/spxwzh
宿豫,rtmp://suyu-tv-hls.cm.jstv.com/suyu-tv/syzhpd
睢宁,rtmp://suining-tv-hls.cm.jstv.com/suining-tv/suiningsh
睢宁,rtmp://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn
睢宁,rtmp://suining-tv-hls.cm.jstv.com/suining-tv/suiningys
睢宁,rtmp://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh
塔城,rtmp://218.84.35.38/live/tctv-1
塔城2,rtmp://218.84.35.38/live/tctv-2
塔城3,rtmp://218.84.35.38/live/tctv-3
通川,rtmp://tv.drs.dzxw.net/channellive/tcpd-dz3
通渭,rtmp://play.kankanlive.com/live/1661761962676984
响水,rtmp://xiangshui-tv-hls.cm.jstv.com/xiangshui-tv/xiangshuizh
新疆,rtmp://liveout.btzx.com.cn/62ds9e/454mm6
叙州,rtmp://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597
营山,rtmp://tv.drs.ysxtv.cn/channellive/ystv-bak
营山,rtmp://tv.drs.ysxtv.cn:1935/channellive/ystv-bak
永昌,rtmp://play.kankanlive.com/live/1652755738635915
玉门,rtmp://live.yumentv.cn:12345/live/room10
长宁,rtmp://cnpull.sccnfb.com/live/123456
漳州,rtmp://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175
